中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.9.139.160,443,192.9.139.160,US,San Jose,中转,13 ms,657 Mbps,84172 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,1 ms,747 Mbps,95641 kB/s
35.197.23.75,443,35.212.167.189,US,Seattle,隧道,25 ms,380 Mbps,48640 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,19 ms,592 Mbps,75878 kB/s
35.230.79.26,443,35.212.167.189,US,Seattle,隧道,21 ms,976 Mbps,124928 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,20 ms,960 Mbps,122880 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,62 ms,289 Mbps,37068 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,65 ms,6 Mbps,881 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,136 ms,216 Mbps,27750 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,119 ms,47 Mbps,6051 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,113 ms,42 Mbps,5491 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,117 ms,43 Mbps,5629 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,157 ms,128 Mbps,16486 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,186 ms,49 Mbps,6328 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,141 ms,47 Mbps,6140 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,163 ms,44 Mbps,5651 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,168 ms,13 Mbps,1776 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,162 ms,124 Mbps,15974 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,178 ms,94 Mbps,12083 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,180 ms,122 Mbps,15667 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,157 ms,44 Mbps,5739 kB/s
