中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,18 ms,672 Mbps,86118 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,16 ms,7 Mbps,942 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,48 ms,455 Mbps,58265 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,48 ms,528 Mbps,67584 kB/s
35.230.79.26,443,35.212.212.2,US,Seattle,隧道,53 ms,469 Mbps,60108 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,49 ms,432 Mbps,55398 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,64 ms,452 Mbps,57856 kB/s
35.197.23.75,443,35.212.212.2,US,Seattle,隧道,50 ms,510 Mbps,65331 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,110 ms,213 Mbps,27340 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,112 ms,244 Mbps,31334 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,114 ms,200 Mbps,25702 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,109 ms,48 Mbps,6169 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,156 ms,40 Mbps,5161 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,143 ms,145 Mbps,18636 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,153 ms,46 Mbps,5919 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,148 ms,42 Mbps,5464 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,120 ms,45 Mbps,5773 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,198 ms,37 Mbps,4752 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,207 ms,12 Mbps,1646 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,220 ms,37 Mbps,4834 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,234 ms,40 Mbps,5130 kB/s
