中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,12 ms,700 Mbps,89702 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,16 ms,45 Mbps,5767 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,15 ms,7 Mbps,956 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,47 ms,439 Mbps,56217 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,48 ms,410 Mbps,52531 kB/s
34.82.76.253,443,35.185.231.63,US,Seattle,隧道,50 ms,548 Mbps,70144 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,61 ms,243 Mbps,31129 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,53 ms,399 Mbps,51097 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,66 ms,288 Mbps,36966 kB/s
35.230.79.26,443,35.212.128.242,US,Seattle,隧道,48 ms,469 Mbps,60108 kB/s
35.197.23.75,443,35.212.128.242,US,Seattle,隧道,53 ms,500 Mbps,64102 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,98 ms,50 Mbps,6466 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,116 ms,189 Mbps,24268 kB/s
152.70.62.177,443,163.123.193.24,DE,Frankfurt,隧道,114 ms,198 Mbps,25395 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,124 ms,235 Mbps,30105 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,117 ms,184 Mbps,23552 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,154 ms,136 Mbps,17510 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,157 ms,38 Mbps,4903 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,114 ms,45 Mbps,5875 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,154 ms,41 Mbps,5307 kB/s
146.56.175.207,443,161.118.151.165,KR,Seoul,隧道,191 ms,80 Mbps,10342 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,214 ms,37 Mbps,4746 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,203 ms,35 Mbps,4559 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,211 ms,29 Mbps,3839 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,235 ms,39 Mbps,5100 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,199 ms,37 Mbps,4795 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,196 ms,0 Mbps,44 kB/s
