中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,6 ms,2272 Mbps,290816 kB/s
35.197.23.75,443,35.212.167.189,US,Seattle,隧道,32 ms,848 Mbps,108544 kB/s
35.230.79.26,443,35.212.167.189,US,Seattle,隧道,35 ms,848 Mbps,108544 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,33 ms,808 Mbps,103424 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,28 ms,612 Mbps,78438 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,58 ms,364 Mbps,46592 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,3 ms,912 Mbps,116736 kB/s
129.146.46.164,443,129.146.46.164,,Los Angeles,中转,0 ms,363 Mbps,46489 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,115 ms,228 Mbps,29184 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,111 ms,47 Mbps,6045 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,76 ms,6 Mbps,884 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,121 ms,48 Mbps,6162 kB/s
168.138.212.80,443,168.138.212.80,JP,Osaka,中转,110 ms,47 Mbps,6046 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,113 ms,45 Mbps,5854 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,142 ms,43 Mbps,5628 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,165 ms,13 Mbps,1671 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,142 ms,43 Mbps,5619 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,180 ms,119 Mbps,15257 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,158 ms,134 Mbps,17203 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,165 ms,115 Mbps,14745 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,151 ms,0 Mbps,34 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,187 ms,38 Mbps,4981 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,205 ms,57 Mbps,7316 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,170 ms,41 Mbps,5291 kB/s
