中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,9 ms,179 Mbps,22937 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,19 ms,730 Mbps,93491 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,8 ms,0 Mbps,86 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,70 ms,464 Mbps,59494 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,68 ms,364 Mbps,46592 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,70 ms,444 Mbps,56832 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,94 ms,241 Mbps,30924 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,64 ms,288 Mbps,36966 kB/s
34.82.76.253,443,34.105.52.138,US,Seattle,隧道,69 ms,360 Mbps,46182 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,94 ms,293 Mbps,37580 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,72 ms,284 Mbps,36454 kB/s
35.197.23.75,443,35.212.209.228,US,Seattle,隧道,76 ms,332 Mbps,42496 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,94 ms,48 Mbps,6254 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,90 ms,47 Mbps,6031 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,71 ms,387 Mbps,49561 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,98 ms,228 Mbps,29184 kB/s
35.230.79.26,443,35.212.209.228,US,Seattle,隧道,81 ms,200 Mbps,25600 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,100 ms,45 Mbps,5828 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,173 ms,39 Mbps,5084 kB/s
168.138.212.80,443,168.138.212.80,JP,Osaka,中转,162 ms,38 Mbps,4880 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,172 ms,112 Mbps,14438 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,175 ms,37 Mbps,4846 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,224 ms,55 Mbps,7076 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,183 ms,38 Mbps,4893 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,201 ms,35 Mbps,4539 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,225 ms,41 Mbps,5362 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,228 ms,39 Mbps,5059 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,233 ms,38 Mbps,4940 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,218 ms,10 Mbps,1328 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,272 ms,33 Mbps,4336 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,210 ms,29 Mbps,3756 kB/s
