中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.9.139.160,443,192.9.139.160,US,San Jose,中转,38 ms,532 Mbps,68096 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,18 ms,652 Mbps,83558 kB/s
35.197.23.75,443,35.212.167.189,US,Seattle,隧道,49 ms,518 Mbps,66355 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,54 ms,372 Mbps,47718 kB/s
129.146.46.164,443,129.146.46.164,312 Mbps,40038 kB/s
35.230.79.26,443,35.212.167.189,US,Seattle,隧道,50 ms,448 Mbps,57344 kB/s
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,49 ms,539 Mbps,69017 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,32 ms,5 Mbps,646 kB/s
43.153.103.203,443,43.153.103.203,US,Los Angeles,中转,54 ms,636 Mbps,81408 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,52 ms,470 Mbps,60211 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,56 ms,359 Mbps,45977 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,45 ms,538 Mbps,68915 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,51 ms,407 Mbps,52121 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,134 ms,160 Mbps,20480 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,127 ms,167 Mbps,21401 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,114 ms,48 Mbps,6211 kB/s
158.101.130.149,443,158.101.129.206,JP,Tokyo,隧道,138 ms,140 Mbps,18022 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,123 ms,168 Mbps,21504 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,145 ms,39 Mbps,5087 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,144 ms,43 Mbps,5572 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,176 ms,37 Mbps,4811 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,128 ms,41 Mbps,5323 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,208 ms,36 Mbps,4729 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,196 ms,11 Mbps,1452 kB/s
158.101.201.244,443,2606:f240:f00:eaf1:0:9e7b:229b:5774,US,Denver,隧道,122 ms,146 Mbps,18739 kB/s
