中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,5 ms,7 Mbps,942 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,9 ms,168 Mbps,21504 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,22 ms,777 Mbps,99532 kB/s
129.146.46.164,443,129.146.46.164,US,279 Mbps,35737 kB/s
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,70 ms,365 Mbps,46796 kB/s
34.82.76.253,443,34.105.52.138,US,Seattle,隧道,69 ms,286 Mbps,36659 kB/s
35.197.23.75,443,35.212.226.106,US,Seattle,隧道,69 ms,292 Mbps,37478 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,69 ms,342 Mbps,43827 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,72 ms,301 Mbps,38604 kB/s
132.145.64.184,443,132.145.64.184,GB,London,中转,87 ms,269 Mbps,34508 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,87 ms,49 Mbps,6378 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,102 ms,243 Mbps,31129 kB/s
35.230.79.26,443,35.212.226.106,US,Seattle,隧道,74 ms,260 Mbps,33382 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,104 ms,259 Mbps,33177 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,103 ms,49 Mbps,6309 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,97 ms,234 Mbps,30003 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,106 ms,50 Mbps,6442 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,168 ms,43 Mbps,5513 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,175 ms,36 Mbps,4729 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,173 ms,133 Mbps,17100 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,172 ms,120 Mbps,15360 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,201 ms,39 Mbps,5077 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,210 ms,31 Mbps,4055 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,246 ms,35 Mbps,4568 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,259 ms,35 Mbps,4529 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,209 ms,95 Mbps,12185 kB/s
