中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
43.153.103.203,443,43.153.103.203,US,San Jose,中转,4 ms,1096 Mbps,140288 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,13 ms,1400 Mbps,179200 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,2 ms,808 Mbps,103424 kB/s
35.230.79.26,443,35.212.226.106,US,Seattle,隧道,22 ms,872 Mbps,111616 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,35 ms,132 Mbps,16896 kB/s
35.197.23.75,443,35.212.226.106,US,Seattle,隧道,25 ms,856 Mbps,109568 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,26 ms,446 Mbps,57139 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,9 ms,1384 Mbps,177152 kB/s
34.82.76.253,443,35.185.231.63,US,Seattle,隧道,31 ms,896 Mbps,114688 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,58 ms,338 Mbps,43315 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,32 ms,307 Mbps,39321 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,22 ms,636 Mbps,81408 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,79 ms,49 Mbps,6359 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,75 ms,4 Mbps,609 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,110 ms,227 Mbps,29081 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,117 ms,22 Mbps,2943 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,169 ms,144 Mbps,18534 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,128 ms,48 Mbps,6223 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,163 ms,126 Mbps,16179 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,136 ms,45 Mbps,5857 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,178 ms,11 Mbps,1474 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,152 ms,42 Mbps,5408 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,178 ms,43 Mbps,5622 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,190 ms,44 Mbps,5689 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,166 ms,110 Mbps,14131 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,196 ms,37 Mbps,4755 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,179 ms,0 Mbps,25 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,193 ms,46 Mbps,5897 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,131 ms,30 Mbps,3935 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,168 ms,48 Mbps,6173 kB/s
