中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,8 ms,460 Mbps,58982 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,30 ms,692 Mbps,88576 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,18 ms,342 Mbps,43827 kB/s
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,19 ms,701 Mbps,89804 kB/s
43.153.80.208,443,43.153.80.208,US,Los Angeles,中转,28 ms,896 Mbps,114688 kB/s
43.153.103.203,443,43.153.103.203,US,Los Angeles,中转,34 ms,888 Mbps,113664 kB/s
35.230.79.26,443,35.212.209.228,US,Seattle,隧道,43 ms,532 Mbps,68198 kB/s
34.82.76.253,443,35.185.231.63,US,Seattle,隧道,39 ms,579 Mbps,74137 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,58 ms,356 Mbps,45670 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,58 ms,332 Mbps,42496 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,26 ms,248 Mbps,31744 kB/s
35.197.23.75,443,35.212.209.228,US,Seattle,隧道,37 ms,558 Mbps,71475 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,55 ms,6 Mbps,877 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,59 ms,48 Mbps,6195 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,109 ms,199 Mbps,25497 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,119 ms,44 Mbps,5636 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,123 ms,44 Mbps,5676 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,144 ms,45 Mbps,5785 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,149 ms,158 Mbps,20275 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,147 ms,121 Mbps,15564 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,146 ms,13 Mbps,1758 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,162 ms,40 Mbps,5239 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,161 ms,126 Mbps,16179 kB/s
8.219.88.129,443,8.219.96.61,SG,Singapore,隧道,183 ms,84 Mbps,10752 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,189 ms,9 Mbps,1247 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,202 ms,53 Mbps,6862 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,204 ms,76 Mbps,9764 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,217 ms,36 Mbps,4630 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,148 ms,41 Mbps,5348 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,186 ms,0 Mbps,5 kB/s
