中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
23.94.43.51,443,23.94.43.51,US,Seattle,中转,20 ms,640 Mbps,81920 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,3 ms,777 Mbps,99532 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,21 ms,1704 Mbps,218112 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,9 ms,1528 Mbps,195584 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,20 ms,437 Mbps,56012 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,7 ms,743 Mbps,95129 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,21 ms,1000 Mbps,128000 kB/s
35.197.23.75,443,35.212.212.2,US,Seattle,隧道,35 ms,1016 Mbps,130048 kB/s
35.230.79.26,443,35.212.212.2,US,Seattle,隧道,22 ms,753 Mbps,96460 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,79 ms,6 Mbps,875 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,63 ms,300 Mbps,38400 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,71 ms,41 Mbps,5373 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,121 ms,41 Mbps,5339 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,107 ms,200 Mbps,25702 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,116 ms,50 Mbps,6426 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,113 ms,237 Mbps,30412 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,134 ms,48 Mbps,6225 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,160 ms,48 Mbps,6200 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,177 ms,146 Mbps,18739 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,173 ms,124 Mbps,15872 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,173 ms,48 Mbps,6164 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,173 ms,114 Mbps,14643 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,195 ms,50 Mbps,6452 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,192 ms,11 Mbps,1528 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,182 ms,41 Mbps,5270 kB/s
