中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.9.139.160,443,192.9.139.160,US,San Jose,中转,1 ms,755 Mbps,96665 kB/s
129.146.46.164,443,129.146.46.164,US,348 Mbps,44646 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,32 ms,636 Mbps,81408 kB/s
35.197.23.75,443,35.212.140.104,US,Seattle,隧道,20 ms,752 Mbps,96256 kB/s
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,9 ms,2280 Mbps,291840 kB/s
34.82.76.253,443,34.182.31.213,US,Seattle,隧道,21 ms,1104 Mbps,141312 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,22 ms,467 Mbps,59801 kB/s
35.230.79.26,443,35.212.140.104,US,Seattle,隧道,21 ms,1056 Mbps,135168 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,21 ms,432 Mbps,55398 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,78 ms,416 Mbps,53248 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,71 ms,6 Mbps,838 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,106 ms,231 Mbps,29593 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,110 ms,51 Mbps,6558 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,148 ms,47 Mbps,6107 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,120 ms,49 Mbps,6382 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,114 ms,239 Mbps,30617 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,111 ms,48 Mbps,6230 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,118 ms,49 Mbps,6340 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,162 ms,47 Mbps,6116 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,160 ms,122 Mbps,15667 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,159 ms,138 Mbps,17715 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,170 ms,116 Mbps,14848 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,171 ms,44 Mbps,5750 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,176 ms,12 Mbps,1565 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,168 ms,44 Mbps,5676 kB/s
