中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,2 ms,1320 Mbps,168960 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,11 ms,740 Mbps,94720 kB/s
35.197.23.75,443,35.212.167.189,US,Seattle,隧道,30 ms,482 Mbps,61747 kB/s
35.230.79.26,443,35.212.167.189,US,Seattle,隧道,33 ms,453 Mbps,58060 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,26 ms,462 Mbps,59187 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,21 ms,538 Mbps,68915 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,61 ms,395 Mbps,50585 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,41 ms,588 Mbps,75264 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,68 ms,45 Mbps,5822 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,67 ms,6 Mbps,892 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,113 ms,47 Mbps,6073 kB/s
168.138.212.80,443,168.138.212.80,JP,Osaka,中转,107 ms,48 Mbps,6147 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,110 ms,210 Mbps,26931 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,140 ms,44 Mbps,5757 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,116 ms,45 Mbps,5862 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,164 ms,115 Mbps,14745 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,161 ms,125 Mbps,16076 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,151 ms,42 Mbps,5434 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,163 ms,115 Mbps,14745 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,176 ms,41 Mbps,5273 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,199 ms,50 Mbps,6400 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,156 ms,40 Mbps,5182 kB/s
