中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,32 ms,304 Mbps,38912 kB/s
35.197.23.75,443,35.212.212.2,US,Seattle,隧道,22 ms,840 Mbps,107520 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,1 ms,1176 Mbps,150528 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,35 ms,454 Mbps,58163 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,22 ms,896 Mbps,114688 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,59 ms,358 Mbps,45875 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,21 ms,569 Mbps,72908 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,6 ms,896 Mbps,114688 kB/s
35.230.79.26,443,35.212.212.2,US,Seattle,隧道,21 ms,840 Mbps,107520 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,73 ms,4 Mbps,545 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,106 ms,197 Mbps,25292 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,114 ms,41 Mbps,5323 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,112 ms,49 Mbps,6305 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,140 ms,50 Mbps,6470 kB/s
8.219.149.83,443,8.222.240.96,SG,Singapore,隧道,172 ms,88 Mbps,11264 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,166 ms,152 Mbps,19456 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,161 ms,7 Mbps,1019 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,156 ms,49 Mbps,6305 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,166 ms,130 Mbps,16691 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,178 ms,94 Mbps,12083 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,168 ms,118 Mbps,15155 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,185 ms,41 Mbps,5277 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,199 ms,46 Mbps,5894 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,129 ms,156 Mbps,20070 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,167 ms,43 Mbps,5599 kB/s
