中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,11 ms,699 Mbps,89497 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,20 ms,7 Mbps,936 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,51 ms,450 Mbps,57651 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,45 ms,400 Mbps,51200 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,52 ms,373 Mbps,47820 kB/s
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,290 Mbps,37171 kB/s
35.197.23.75,443,35.212.181.70,US,Seattle,隧道,57 ms,434 Mbps,55603 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,57 ms,479 Mbps,61337 kB/s
35.230.79.26,443,35.212.181.70,US,Seattle,隧道,49 ms,476 Mbps,61030 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,113 ms,186 Mbps,23859 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,99 ms,51 Mbps,6594 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,120 ms,196 Mbps,25190 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,114 ms,243 Mbps,31129 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,143 ms,152 Mbps,19558 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,171 ms,43 Mbps,5561 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,155 ms,45 Mbps,5783 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,154 ms,44 Mbps,5751 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,112 ms,44 Mbps,5674 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,200 ms,12 Mbps,1578 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,212 ms,9 Mbps,1249 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,263 ms,43 Mbps,5525 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,229 ms,26 Mbps,3406 kB/s
