中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,16 ms,515 Mbps,65945 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,19 ms,880 Mbps,112640 kB/s
35.197.23.75,443,35.212.209.228,US,Seattle,隧道,39 ms,564 Mbps,72192 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,59 ms,396 Mbps,50688 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,23 ms,549 Mbps,70348 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,18 ms,626 Mbps,80179 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,57 ms,6 Mbps,830 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,35 ms,514 Mbps,65843 kB/s
35.230.79.26,443,35.212.209.228,US,Seattle,隧道,44 ms,481 Mbps,61644 kB/s
34.82.76.253,443,34.105.52.138,US,Seattle,隧道,36 ms,592 Mbps,75878 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,109 ms,209 Mbps,26828 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,55 ms,48 Mbps,6167 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,121 ms,46 Mbps,5995 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,119 ms,44 Mbps,5652 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,136 ms,43 Mbps,5508 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,140 ms,140 Mbps,17920 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,151 ms,44 Mbps,5717 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,147 ms,158 Mbps,20275 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,166 ms,40 Mbps,5164 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,158 ms,130 Mbps,16691 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,163 ms,40 Mbps,5169 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,183 ms,40 Mbps,5148 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,208 ms,39 Mbps,5080 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,174 ms,0 Mbps,15 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,145 ms,37 Mbps,4820 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,157 ms,101 Mbps,13004 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,185 ms,41 Mbps,5357 kB/s
